GAME,"DRAW ID","DRAW DATE","MAIN NUMBERS",SUPP
monday_lotto,3972,"Monday 11 May 2020","23 35 41 6 39 28 ","27 17 "
monday_lotto,3970,"Monday 04 May 2020","39 32 40 41 43 30 ","15 23 "
monday_lotto,3968,"Monday 27 Apr 2020","45 13 42 3 44 39 ","17 16 "
monday_lotto,3966,"Monday 20 Apr 2020","11 6 2 25 16 45 ","24 19 "
monday_lotto,3964,"Monday 13 Apr 2020","1 2 45 41 39 33 ","7 38 "
monday_lotto,3962,"Monday 06 Apr 2020","10 20 32 14 11 30 ","4 40 "
monday_lotto,3960,"Monday 30 Mar 2020","3 19 1 14 10 13 ","32 5 "
monday_lotto,3958,"Monday 23 Mar 2020","20 10 42 16 24 18 ","41 2 "
monday_lotto,3956,"Monday 16 Mar 2020","33 44 18 40 36 26 ","41 39 "
monday_lotto,3954,"Monday 09 Mar 2020","10 7 22 19 13 20 ","45 28 "
monday_lotto,3952,"Monday 02 Mar 2020","9 29 28 8 14 34 ","41 43 "
monday_lotto,3950,"Monday 24 Feb 2020","28 17 26 24 10 44 ","25 13 "
monday_lotto,3948,"Monday 17 Feb 2020","40 26 35 19 45 32 ","18 24 "
monday_lotto,3946,"Monday 10 Feb 2020","45 10 35 31 16 33 ","44 14 "
monday_lotto,3944,"Monday 03 Feb 2020","34 40 20 26 28 7 ","39 17 "
monday_lotto,3942,"Monday 27 Jan 2020","4 23 2 13 22 31 ","32 44 "
monday_lotto,3940,"Monday 20 Jan 2020","2 33 30 28 36 45 ","16 12 "
monday_lotto,3938,"Monday 13 Jan 2020","40 17 8 34 42 22 ","38 32 "
monday_lotto,3936,"Monday 06 Jan 2020","16 35 5 43 26 11 ","24 6 "
monday_lotto,3934,"Monday 30 Dec 2019","36 5 18 32 7 34 ","13 2 "
monday_lotto,3932,"Monday 23 Dec 2019","1 39 16 20 32 15 ","33 30 "
monday_lotto,3930,"Monday 16 Dec 2019","30 45 17 20 42 37 ","39 8 "
monday_lotto,3928,"Monday 09 Dec 2019","13 23 10 11 8 20 ","21 40 "
monday_lotto,3926,"Monday 02 Dec 2019","32 42 16 14 7 28 ","1 43 "
monday_lotto,3924,"Monday 25 Nov 2019","25 41 11 43 29 21 ","1 31 "
monday_lotto,3922,"Monday 18 Nov 2019","39 42 28 8 45 19 ","40 35 "
monday_lotto,3920,"Monday 11 Nov 2019","18 5 17 21 43 41 ","27 8 "
monday_lotto,3918,"Monday 04 Nov 2019","14 10 5 6 33 37 ","20 22 "
monday_lotto,3916,"Monday 28 Oct 2019","38 18 43 30 45 25 ","37 12 "
monday_lotto,3914,"Monday 21 Oct 2019","9 2 19 17 36 22 ","26 8 "
monday_lotto,3912,"Monday 14 Oct 2019","42 19 45 35 38 43 ","25 20 "
monday_lotto,3910,"Monday 07 Oct 2019","2 44 35 31 8 7 ","34 36 "
monday_lotto,3908,"Monday 30 Sep 2019","19 28 39 12 20 6 ","25 21 "
monday_lotto,3906,"Monday 23 Sep 2019","31 13 17 2 30 11 ","10 44 "
monday_lotto,3904,"Monday 16 Sep 2019","26 2 8 15 22 9 ","41 33 "
monday_lotto,3902,"Monday 09 Sep 2019","18 40 11 26 34 42 ","25 14 "
monday_lotto,3900,"Monday 02 Sep 2019","22 45 23 43 6 32 ","30 12 "
monday_lotto,3898,"Monday 26 Aug 2019","33 28 45 24 32 12 ","9 11 "
monday_lotto,3896,"Monday 19 Aug 2019","24 6 32 13 3 10 ","34 37 "
monday_lotto,3894,"Monday 12 Aug 2019","3 44 24 40 8 34 ","36 43 "
monday_lotto,3892,"Monday 05 Aug 2019","6 1 14 18 21 7 ","19 9 "
monday_lotto,3890,"Monday 29 Jul 2019","4 6 29 11 3 26 ","41 40 "
monday_lotto,3888,"Monday 22 Jul 2019","25 4 3 38 17 27 ","18 29 "
monday_lotto,3886,"Monday 15 Jul 2019","21 24 35 11 6 40 ","44 14 "
monday_lotto,3884,"Monday 08 Jul 2019","1 27 16 39 44 33 ","10 36 "
