GAME,"DRAW ID","DRAW DATE","MAIN NUMBERS",SUPP
powerball,1251,"Thursday 07 May 2020","12 9 16 23 26 35 29 ","10 "
powerball,1250,"Thursday 30 Apr 2020","6 32 9 17 25 34 28 ","10 "
powerball,1249,"Thursday 23 Apr 2020","32 35 3 18 7 6 14 ","2 "
powerball,1248,"Thursday 16 Apr 2020","8 24 25 19 18 12 15 ","18 "
powerball,1247,"Thursday 09 Apr 2020","2 4 18 34 27 12 19 ","11 "
powerball,1246,"Thursday 02 Apr 2020","17 19 26 22 1 14 3 ","18 "
powerball,1245,"Thursday 26 Mar 2020","14 21 16 12 1 29 27 ","7 "
powerball,1244,"Thursday 19 Mar 2020","18 1 12 10 27 20 11 ","20 "
powerball,1243,"Thursday 12 Mar 2020","20 10 17 28 19 33 26 ","2 "
powerball,1242,"Thursday 05 Mar 2020","24 28 27 23 16 10 33 ","12 "
powerball,1241,"Thursday 27 Feb 2020","16 24 31 9 17 22 1 ","2 "
powerball,1240,"Thursday 20 Feb 2020","26 3 31 12 13 1 21 ","19 "
powerball,1239,"Thursday 13 Feb 2020","25 7 29 14 5 32 2 ","3 "
powerball,1238,"Thursday 06 Feb 2020","26 3 11 2 15 1 35 ","17 "
powerball,1237,"Thursday 30 Jan 2020","8 9 35 22 20 17 5 ","16 "
powerball,1236,"Thursday 23 Jan 2020","13 10 23 5 27 4 28 ","4 "
powerball,1235,"Thursday 16 Jan 2020","20 25 7 14 21 28 16 ","11 "
powerball,1234,"Thursday 09 Jan 2020","31 9 7 3 29 4 24 ","2 "
powerball,1233,"Thursday 02 Jan 2020","27 25 21 3 35 2 9 ","4 "
powerball,1232,"Thursday 26 Dec 2019","27 17 26 12 23 7 9 ","2 "
powerball,1231,"Thursday 19 Dec 2019","9 11 8 32 4 10 29 ","18 "
powerball,1230,"Thursday 12 Dec 2019","15 9 16 35 18 28 11 ","9 "
powerball,1229,"Thursday 05 Dec 2019","29 32 30 14 19 20 27 ","6 "
powerball,1228,"Thursday 28 Nov 2019","20 21 23 12 18 30 4 ","1 "
powerball,1227,"Thursday 21 Nov 2019","1 12 3 2 25 13 23 ","1 "
powerball,1226,"Thursday 14 Nov 2019","8 28 24 10 20 32 26 ","6 "
powerball,1225,"Thursday 07 Nov 2019","21 12 10 13 33 7 3 ","4 "
powerball,1224,"Thursday 31 Oct 2019","10 29 16 33 9 22 18 ","8 "
powerball,1223,"Thursday 24 Oct 2019","19 11 1 24 7 12 30 ","7 "
powerball,1222,"Thursday 17 Oct 2019","9 2 25 21 7 6 22 ","12 "
powerball,1221,"Thursday 10 Oct 2019","28 11 27 16 6 3 35 ","10 "
powerball,1220,"Thursday 03 Oct 2019","2 15 20 29 22 25 11 ","3 "
powerball,1219,"Thursday 26 Sep 2019","33 30 25 26 22 9 27 ","19 "
powerball,1218,"Thursday 19 Sep 2019","26 4 17 5 18 8 31 ","9 "
powerball,1217,"Thursday 12 Sep 2019","27 28 10 20 11 30 31 ","2 "
powerball,1216,"Thursday 05 Sep 2019","16 4 14 2 29 19 27 ","13 "
powerball,1215,"Thursday 29 Aug 2019","8 20 9 11 27 22 32 ","20 "
powerball,1214,"Thursday 22 Aug 2019","10 11 17 35 7 26 3 ","19 "
powerball,1213,"Thursday 15 Aug 2019","24 35 27 30 21 7 14 ","13 "
powerball,1212,"Thursday 08 Aug 2019","30 29 1 16 11 17 5 ","8 "
powerball,1211,"Thursday 01 Aug 2019","15 35 9 25 22 30 23 ","6 "
powerball,1210,"Thursday 25 Jul 2019","23 9 3 22 1 24 11 ","4 "
powerball,1209,"Thursday 18 Jul 2019","6 13 1 11 23 27 16 ","11 "
powerball,1208,"Thursday 11 Jul 2019","21 27 8 6 28 34 7 ","16 "
powerball,1207,"Thursday 04 Jul 2019","2 21 15 20 28 27 22 ","3 "
powerball,1206,"Thursday 27 Jun 2019","7 32 27 17 2 35 21 ","7 "
powerball,1205,"Thursday 20 Jun 2019","19 16 4 34 10 17 14 ","13 "
powerball,1204,"Thursday 13 Jun 2019","8 17 23 5 1 25 11 ","3 "
powerball,1203,"Thursday 06 Jun 2019","8 33 35 7 31 2 11 ","20 "
powerball,1202,"Thursday 30 May 2019","31 14 34 22 10 17 4 ","7 "
powerball,1201,"Thursday 23 May 2019","10 7 6 17 16 30 20 ","4 "
powerball,1200,"Thursday 16 May 2019","11 13 35 34 1 17 24 ","19 "
powerball,1199,"Thursday 09 May 2019","29 15 5 17 19 26 18 ","2 "
powerball,1198,"Thursday 02 May 2019","4 2 11 6 9 8 33 ","4 "
powerball,1197,"Thursday 25 Apr 2019","25 33 23 5 9 2 11 ","6 "
powerball,1196,"Thursday 18 Apr 2019","21 2 17 30 4 1 11 ","2 "
powerball,1195,"Thursday 11 Apr 2019","15 32 20 8 19 18 22 ","9 "
powerball,1194,"Thursday 04 Apr 2019","2 25 14 16 12 33 21 ","4 "
powerball,1193,"Thursday 28 Mar 2019","4 34 25 27 30 26 5 ","18 "
powerball,1192,"Thursday 21 Mar 2019","31 30 20 14 29 27 3 ","7 "
powerball,1191,"Thursday 14 Mar 2019","24 27 17 5 8 20 2 ","6 "
powerball,1190,"Thursday 07 Mar 2019","4 23 9 13 6 20 27 ","2 "
powerball,1189,"Thursday 28 Feb 2019","7 5 13 4 2 14 11 ","14 "
powerball,1188,"Thursday 21 Feb 2019","27 4 25 3 21 16 12 ","8 "
powerball,1187,"Thursday 14 Feb 2019","3 23 10 21 6 34 11 ","5 "
powerball,1186,"Thursday 07 Feb 2019","17 32 20 11 22 24 6 ","19 "
powerball,1185,"Thursday 31 Jan 2019","34 31 29 10 19 28 22 ","10 "
powerball,1184,"Thursday 24 Jan 2019","17 29 35 23 19 8 2 ","3 "
powerball,1183,"Thursday 17 Jan 2019","20 18 33 22 11 26 4 ","9 "
powerball,1182,"Thursday 10 Jan 2019","3 10 7 28 34 24 31 ","14 "
powerball,1181,"Thursday 03 Jan 2019","8 11 19 12 7 25 33 ","13 "
powerball,1180,"Thursday 27 Dec 2018","9 17 5 7 18 8 29 ","19 "
powerball,1179,"Thursday 20 Dec 2018","19 5 24 13 9 32 20 ","15 "
powerball,1178,"Thursday 13 Dec 2018","24 8 26 28 35 7 15 ","13 "
powerball,1177,"Thursday 06 Dec 2018","14 6 26 3 20 5 33 ","19 "
powerball,1176,"Thursday 29 Nov 2018","29 20 22 5 3 17 33 ","12 "
powerball,1175,"Thursday 22 Nov 2018","14 29 34 33 17 3 28 ","17 "
powerball,1174,"Thursday 15 Nov 2018","18 16 23 2 25 7 29 ","20 "
powerball,1173,"Thursday 08 Nov 2018","29 35 12 30 17 23 15 ","10 "
powerball,1172,"Thursday 01 Nov 2018","30 11 24 35 17 4 8 ","3 "
powerball,1171,"Thursday 25 Oct 2018","28 29 26 13 25 9 11 ","12 "
powerball,1170,"Thursday 18 Oct 2018","17 35 25 10 33 7 29 ","5 "
powerball,1169,"Thursday 11 Oct 2018","21 13 23 20 27 32 30 ","13 "
powerball,1168,"Thursday 04 Oct 2018","24 32 3 11 21 28 22 ","7 "
powerball,1167,"Thursday 27 Sep 2018","22 5 10 30 19 21 15 ","3 "
powerball,1166,"Thursday 20 Sep 2018","20 6 30 17 8 10 2 ","8 "
powerball,1165,"Thursday 13 Sep 2018","2 22 34 1 35 19 17 ","11 "
powerball,1164,"Thursday 06 Sep 2018","7 14 23 25 18 21 27 ","20 "
powerball,1163,"Thursday 30 Aug 2018","20 32 15 19 22 13 28 ","20 "
powerball,1162,"Thursday 23 Aug 2018","6 14 18 28 29 9 2 ","11 "
powerball,1161,"Thursday 16 Aug 2018","33 3 32 13 27 35 31 ","3 "
powerball,1160,"Thursday 09 Aug 2018","5 18 10 13 34 12 4 ","19 "
powerball,1159,"Thursday 02 Aug 2018","32 34 1 9 17 22 3 ","19 "
powerball,1158,"Thursday 26 Jul 2018","32 31 1 22 28 7 8 ","15 "
powerball,1157,"Thursday 19 Jul 2018","22 23 29 4 24 2 25 ","17 "
powerball,1156,"Thursday 12 Jul 2018","32 23 31 4 16 25 18 ","5 "
powerball,1155,"Thursday 05 Jul 2018","7 29 33 23 34 20 32 ","16 "
powerball,1154,"Thursday 28 Jun 2018","17 25 7 4 2 28 34 ","3 "
powerball,1153,"Thursday 21 Jun 2018","2 24 5 31 13 9 35 ","16 "
powerball,1152,"Thursday 14 Jun 2018","29 6 16 2 7 31 14 ","15 "
powerball,1151,"Thursday 07 Jun 2018","34 30 14 32 22 24 23 ","9 "
powerball,1150,"Thursday 31 May 2018","29 18 9 27 30 8 32 ","6 "
powerball,1149,"Thursday 24 May 2018","2 12 14 18 19 23 25 ","17 "
powerball,1148,"Thursday 17 May 2018","3 9 16 25 26 31 34 ","9 "
powerball,1147,"Thursday 10 May 2018","6 14 15 24 26 32 35 ","14 "
powerball,1146,"Thursday 03 May 2018","1 3 6 16 19 20 24 ","13 "
powerball,1145,"Thursday 26 Apr 2018","9 14 15 19 24 34 35 ","12 "
powerball,1144,"Thursday 19 Apr 2018","4 5 9 13 25 32 33 ","7 "
powerball,1143,"Thursday 12 Apr 2018","16 32 33 14 31 18 ","17 "
powerball,1142,"Thursday 05 Apr 2018","5 25 22 8 18 23 ","10 "
powerball,1141,"Thursday 29 Mar 2018","7 10 4 16 14 8 ","10 "
powerball,1140,"Thursday 22 Mar 2018","10 17 35 40 22 30 ","7 "
powerball,1139,"Thursday 15 Mar 2018","34 18 6 1 21 9 ","15 "
powerball,1138,"Thursday 08 Mar 2018","12 29 4 22 37 26 ","11 "
powerball,1137,"Thursday 01 Mar 2018","17 39 8 24 30 16 ","8 "
powerball,1136,"Thursday 22 Feb 2018","19 16 14 38 11 15 ","8 "
powerball,1135,"Thursday 15 Feb 2018","5 37 25 6 36 12 ","7 "
powerball,1134,"Thursday 08 Feb 2018","33 7 12 38 23 10 ","16 "
powerball,1133,"Thursday 01 Feb 2018","35 24 27 38 26 20 ","3 "
powerball,1132,"Thursday 25 Jan 2018","23 24 40 10 13 1 ","13 "
powerball,1131,"Thursday 18 Jan 2018","19 35 36 13 3 8 ","6 "
powerball,1130,"Thursday 11 Jan 2018","32 7 5 34 38 11 ","12 "
powerball,1129,"Thursday 04 Jan 2018","19 20 15 8 23 24 ","5 "
powerball,1128,"Thursday 28 Dec 2017","29 37 34 12 28 35 ","7 "
powerball,1127,"Thursday 21 Dec 2017","33 27 7 10 15 32 ","9 "
powerball,1126,"Thursday 14 Dec 2017","31 19 28 40 22 30 ","6 "
powerball,1125,"Thursday 07 Dec 2017","39 8 34 26 11 23 ","13 "
powerball,1124,"Thursday 30 Nov 2017","22 26 31 35 21 38 ","10 "
powerball,1123,"Thursday 23 Nov 2017","39 17 36 35 27 33 ","7 "
powerball,1122,"Thursday 16 Nov 2017","33 18 11 3 36 6 ","5 "
powerball,1121,"Thursday 09 Nov 2017","15 27 38 18 29 20 ","20 "
powerball,1120,"Thursday 02 Nov 2017","3 4 30 33 32 23 ","4 "
powerball,1119,"Thursday 26 Oct 2017","39 15 34 29 4 23 ","5 "
powerball,1118,"Thursday 19 Oct 2017","11 34 17 31 8 9 ","16 "
powerball,1117,"Thursday 12 Oct 2017","1 32 11 15 30 28 ","20 "
powerball,1116,"Thursday 05 Oct 2017","6 38 33 7 17 19 ","17 "
powerball,1115,"Thursday 28 Sep 2017","1 6 25 13 32 14 ","7 "
powerball,1114,"Thursday 21 Sep 2017","26 17 2 10 25 23 ","5 "
powerball,1113,"Thursday 14 Sep 2017","25 15 26 30 31 37 ","18 "
powerball,1112,"Thursday 07 Sep 2017","35 28 3 14 11 24 ","3 "
powerball,1111,"Thursday 31 Aug 2017","14 22 38 36 34 25 ","10 "
powerball,1110,"Thursday 24 Aug 2017","9 13 6 35 3 30 ","20 "
powerball,1109,"Thursday 17 Aug 2017","32 26 38 12 4 5 ","6 "
powerball,1108,"Thursday 10 Aug 2017","6 17 1 20 8 16 ","1 "
powerball,1107,"Thursday 03 Aug 2017","30 38 6 9 22 19 ","10 "
powerball,1106,"Thursday 27 Jul 2017","36 23 27 15 31 4 ","16 "
powerball,1105,"Thursday 20 Jul 2017","23 14 22 25 15 5 ","9 "
